40,165920899,165923189,165924995,165922388,165922569,165923303,165922231,165922578,165926730,165923601,165924504,165921901,165922849,165920794,165923491,165921260,165923431,165922630,165922886,165922476,
60,91635057,91636626,91638381,91632709,91633882,91634918,91632907,91634679,91635940,91635287,91635019,91638078,91636149,91634556,91635294,91635406,91634824,91635455,91636287,91634954,
80,57080359,57080111,57079099,57079188,57082385,57080576,57081447,57080272,57080473,57077963,57081171,57082078,57081983,57081961,57079679,57081142,57082199,57082112,57077671,57079317,
100,35452923,35454040,35452179,35452804,35452611,35454482,35453188,35452663,35452616,35453224,35453306,35452147,35453936,35453735,35455533,35453596,35453385,35453300,35453102,35452291,
